StartInd	EndInd	SleepStage	RunNb
772943	1080143	N2	0
1347652	1654852	N3	1
1654852	1962052	N3	2
1962052	2269252	N3	3
2269252	2576452	N3	4
2576452	2883652	N3	5
2883652	3190852	N3	6
3190852	3498052	N3	7
3498052	3805252	N3	8
3805252	4112452	N3	9
4112452	4419652	N3	10
4656302	4963502	N3	11
4963502	5270702	notanal	0
5490741	5797941	N2	0
5797941	6105141	N2	0
6105141	6412341	N2	0
6412341	6719541	N2	0
6719541	7026741	N2	0
7026741	7333941	N2	0
7510555	7817755	notanal	0
7817755	8124955	notanal	0
8124955	8432155	notanal	0
8681532	8988732	N2	0
8988732	9295932	N2	0
9295932	9603132	N2	0
9719988	10027188	REM	0
10027188	10334388	REM	0
10398357	10705557	N2	0
10705557	11012757	N2	0
