StartInd	EndInd	SleepStage	RunNb
2669	309869	Awake	0
309869	617069	Awake	0
617069	924269	Awake	0
924269	1231469	Awake	0
1231469	1538669	Awake	0
1538669	1845869	Awake	0
1845869	2153069	Awake	0
2673127	2980327	N2	0
2980327	3287527	N2	0
3287527	3594727	N2	0
3883704	4190904	Awake	0
4190904	4498104	Awake	0
4498104	4805304	Awake	0
5062016	5369216	N3	1
5369216	5676416	N3	2
5676416	5983616	N3	3
5983616	6290816	N3	4
6290816	6598016	N3	5
7140209	7447409	Awake	0
7447409	7754609	Awake	0
7754609	8061809	Awake	0
8061809	8369009	Awake	0
8425039	8732239	N2	0
8732239	9039439	N2	0
9039439	9346639	N2	0
9346639	9653839	N2	0
9653839	9961039	N2	0
9961039	10268239	N2	0
10268239	10575439	N2	0
10627069	10934269	N3	6
