StartInd	EndInd	SleepStage	RunNb
1984758	2291958	Awake	0
2347385	2654585	N2	0
2878545	3185745	N3	1
3185745	3492945	N3	2
3492945	3800145	N3	3
3800145	4107345	N3	4
4107345	4414545	N3	5
4414545	4721745	N3	6
4721745	5028945	notinclude	0
5028945	5336145	notinclude	0
5336145	5643345	notinclude	0
5643345	5950545	notinclude	0
5950545	6257745	notinclude	0
6257745	6564945	notinclude	0
6836164	7143364	REM	0
7530939	7838139	N1	0
8049807	8357007	N2	0
8581348	8888548	Awake	0
8888548	9195748	Awake	0
9195748	9502948	Awake	0
9502948	9810148	Awake	0
9810148	10117348	Awake	0
10271119	10578319	REM	0
10578319	10885519	REM	0
