StartInd	EndInd	SleepStage	RunNb
667905	975105	N1	0
1036684	1343884	N2	0
1343884	1651084	N2	0
1651084	1958284	N2	0
1961566	2268766	N3	1
2268766	2575966	N3	2
2575966	2883166	N3	3
2883166	3190366	N3	4
3463765	3770965	Awake	0
3790173	4097373	N2	0
4097373	4404573	N2	0
4404573	4711773	N2	0
4811662	5118862	N2	0
5118862	5426062	N2	0
5702687	6009887	N3	5
6315287	6622487	N2	0
6622487	6929687	N2	0
6929687	7236887	N2	0
7236887	7544087	N2	0
7544087	7851287	N2	0
7851287	8158487	N2	0
8158487	8465687	N2	0
8719391	9026591	N2	0
9026591	9333791	N2	0
9333791	9640991	N2	0
9722038	10029238	N2	0
10029238	10336438	N2	0
10372681	10679881	REM	0
10679881	10987081	REM	0
