StartInd	EndInd	SleepStage	RunNb
169641	476841	N2	0
689565	996765	N2	0
996765	1303965	N2	0
1303965	1611165	N2	0
1611165	1918365	N2	0
1918365	2225565	N2	0
2225565	2532765	N2	0
2532765	2839965	N2	0
2939527	3246727	N3	1
3246727	3553927	N3	2
3553927	3861127	N3	3
4179182	4486382	N2	0
4511152	4818352	REM	0
4946903	5254103	Awake	0
5464492	5771692	N2	0
5771692	6078892	N2	0
6078892	6386092	N2	0
6386092	6693292	N2	0
6693292	7000492	N2	0
7000492	7307692	N2	0
7909961	8217161	N2	0
8217161	8524361	N2	0
8524361	8831561	N2	0
8831561	9138761	N2	0
9138761	9445961	N2	0
9445961	9753161	N2	0
9753161	10060361	N2	0
10537936	10845136	Awake	0
