StartInd	EndInd	SleepStage	RunNb
178270	485470	N3	1
485470	792670	N3	2
792670	1099870	N3	3
1099870	1407070	N3	4
1407070	1714270	N3	5
1714270	2021470	N3	6
2021470	2328670	N3	7
2328670	2635870	N3	8
2635870	2943070	N3	9
2943070	3250270	N3	10
3415548	3722748	REM	0
3722748	4029948	REM	0
4184698	4491898	N2	0
4491898	4799098	N2	0
4799098	5106298	N2	0
5106298	5413498	N2	0
5413498	5720698	N2	0
5720698	6027898	N2	0
6027898	6335098	N2	0
6493262	6800462	N3	11
6800462	7107662	N3	12
7107662	7414862	N3	13
7414862	7722062	N3	14
7722062	8029262	N3	15
8029262	8336462	N3	16
8336462	8643662	N3	17
8643662	8950862	N3	18
9223497	9530697	REM	0
9530697	9837897	REM	0
9837897	10145097	REM	0
10145097	10452297	REM	0
10731384	11038584	N2	0
