StartInd	EndInd	SleepStage	RunNb
474155	781355	Awake	0
1545101	1852301	N2	0
1979007	2286207	N3	1
2286207	2593407	N3	2
2593407	2900607	N3	3
2900607	3207807	N3	4
3432325	3739525	N2	0
3739525	4046725	N2	0
4046725	4353925	N2	0
4392431	4699631	Awake	0
4699631	5006831	Awake	0
5013557	5320757	N3	5
5320757	5627957	N3	6
5798776	6105976	Awake	0
6106045	6413245	N2	0
6555691	6862891	REM	0
7151958	7459158	N2	0
7578064	7885264	Awake	0
7897830	8205030	N2	0
8205030	8512230	N2	0
8565084	8872284	N3	7
8872284	9179484	N3	8
9179484	9486684	N3	9
9486684	9793884	N3	10
10216026	10523226	N2	0
10536824	10844024	REM	0
