StartInd	EndInd	SleepStage	RunNb
216014	523214	N2	0
523214	830414	N2	0
830414	1137614	N2	0
1137614	1444814	N2	0
1444814	1752014	N2	0
1752014	2059214	N2	0
2059214	2366414	N2	0
2392836	2700036	Awake	0
2700036	3007236	Awake	0
3007236	3314436	Awake	0
3314436	3621636	Awake	0
3621636	3928836	Awake	0
3928836	4236036	Awake	0
4236036	4543236	Awake	0
4543236	4850436	Awake	0
4850436	5157636	Awake	0
5157636	5464836	Awake	0
5464836	5772036	Awake	0
5772036	6079236	Awake	0
6079236	6386436	Awake	0
6386436	6693636	Awake	0
6693636	7000836	Awake	0
7000836	7308036	Awake	0
7308036	7615236	Awake	0
7722055	8029255	N2	0
8029255	8336455	N2	0
8336455	8643655	N2	0
8643655	8950855	N2	0
8950855	9258055	N2	0
9258055	9565255	N2	0
9798751	10105951	N3	1
10105951	10413151	N3	2
10413151	10720351	N3	3
10720351	11027551	N3	4
