StartInd	EndInd	SleepStage	RunNb
8208	315408	N2	0
315408	622608	N2	0
622608	929808	N2	0
999263	1306463	N2	0
1654129	1961329	N3	1
1961329	2268529	N3	2
2268529	2575729	N3	3
2825910	3133110	Awake	0
3133110	3440310	Awake	0
3440310	3747510	Awake	0
3848788	4155988	N2	0
4155988	4463188	N2	0
4678280	4985480	N3	4
4985480	5292680	N3	5
5292680	5599880	N3	6
5964685	6271885	N2	0
6600755	6907955	Awake	0
6907955	7215155	Awake	0
7215155	7522355	Awake	0
8008745	8315945	REM	0
8385590	8692790	N2	0
9036754	9343954	Awake	0
9569507	9876707	N2	0
10658751	10965951	Awake	0
