StartInd	EndInd	SleepStage	RunNb
1	307201	N2	0
307201	614401	N2	0
614401	921601	N2	0
921601	1228801	N2	0
1228801	1536001	N2	0
1536001	1843201	N2	0
2035775	2342975	N3	1
2342975	2650175	N3	2
2650175	2957375	N3	3
2957375	3264575	N3	4
3264575	3571775	N3	5
3747978	4055178	Awake	0
4055178	4362378	Awake	0
4362378	4669578	Awake	0
4669578	4976778	Awake	0
4976778	5283978	Awake	0
5678339	5985539	Awake	0
5993753	6300953	N1	0
6300953	6608153	N1	0
6608153	6915353	N1	0
6915353	7222553	N1	0
7241539	7548739	REM	0
7548739	7855939	REM	0
7855939	8163139	REM	0
8202924	8510124	N2	0
8510124	8817324	N2	0
8817324	9124524	N2	0
9124524	9431724	N2	0
9431724	9738924	N2	0
9871837	10179037	N3	6
10179037	10486237	N3	7
10486237	10793437	N3	8
