StartInd	EndInd	SleepStage	RunNb
1	307201	N2	0
436356	743556	N3	1
743556	1050756	N3	2
1117049	1424249	N2	0
1424249	1731449	N2	0
1731449	2038649	N2	0
2314933	2622133	N3	3
2622133	2929333	N3	4
2929333	3236533	N3	5
3236533	3543733	N3	6
3543733	3850933	N3	7
3850933	4158133	N3	8
4158133	4465333	N3	9
4465333	4772533	N3	10
4772533	5079733	N3	11
5351237	5658437	N2	0
5658437	5965637	N2	0
5965637	6272837	N2	0
6272837	6580037	N2	0
6580037	6887237	N2	0
6887237	7194437	N2	0
7194437	7501637	N2	0
7501637	7808837	N2	0
7808837	8116037	N2	0
8116037	8423237	N2	0
8423237	8730437	N2	0
8730437	9037637	N2	0
9037637	9344837	N2	0
9344837	9652037	N2	0
9652037	9959237	N2	0
9959237	10266437	N2	0
10266437	10573637	N2	0
10578707	10885907	REM	0
