StartInd	EndInd	SleepStage	RunNb
5946	313146	N2	0
357770	664970	N3	1
664970	972170	N3	2
972170	1279370	N3	3
1279370	1586570	N3	4
2158932	2466132	REM	0
2466132	2773332	REM	0
3079937	3387137	Awake	0
3387137	3694337	Awake	0
3719946	4027146	Awake	0
4027146	4334346	Awake	0
4334346	4641546	Awake	0
4641546	4948746	Awake	0
4948746	5255946	Awake	0
5255946	5563146	Awake	0
5563146	5870346	Awake	0
5870346	6177546	Awake	0
6177546	6484746	Awake	0
6484746	6791946	Awake	0
6791946	7099146	Awake	0
7099146	7406346	Awake	0
7406346	7713546	Awake	0
7713546	8020746	Awake	0
8020746	8327946	Awake	0
8327946	8635146	Awake	0
8635146	8942346	Awake	0
8942346	9249546	Awake	0
9249546	9556746	Awake	0
9556746	9863946	Awake	0
9863946	10171146	Awake	0
10171146	10478346	Awake	0
10478346	10785546	Awake	0
