StartInd	EndInd	SleepStage	RunNb
61384	368584	N3	1
368584	675784	N3	2
675784	982984	N3	3
982984	1290184	N3	4
1290184	1597384	N3	5
1597384	1904584	N3	6
1904584	2211784	N3	7
2211784	2518984	N3	8
2518984	2826184	N3	9
2826184	3133384	N3	10
3133384	3440584	N3	11
3502845	3810045	REM	0
3810045	4117245	REM	0
4117245	4424445	REM	0
4635084	4942284	N2	0
4942284	5249484	N2	0
5249484	5556684	N2	0
5556684	5863884	N2	0
5863884	6171084	N2	0
6171084	6478284	N2	0
6478284	6785484	N2	0
6785484	7092684	N2	0
7092684	7399884	N2	0
7575554	7882754	Awake	0
7882754	8189954	Awake	0
8189954	8497154	Awake	0
8497154	8804354	Awake	0
8804354	9111554	Awake	0
9111554	9418754	Awake	0
9418754	9725954	Awake	0
9820750	10127950	N2	0
10127950	10435150	N2	0
10600503	10907703	N3	12
