StartInd	EndInd	SleepStage	RunNb
106182	413382	N1	0
607894	915094	N3	1
915094	1222294	N3	2
1222294	1529494	N3	3
1529494	1836694	N3	4
1836694	2143894	N3	5
2143894	2451094	N3	6
2674927	2982127	REM	0
2982127	3289327	REM	0
3480378	3787578	N2	0
3787578	4094778	N2	0
4094778	4401978	N2	0
4401978	4709178	N2	0
4758114	5065314	N3	7
5065314	5372514	N3	8
5372514	5679714	N3	9
5679714	5986914	Diff	0
5986914	6294114	Diff	0
6294114	6601314	Diff	0
6601314	6908514	Diff	0
6908514	7215714	Diff	0
7366605	7673805	REM	0
7942172	8249372	N1	0
8263826	8571026	N2	0
8571026	8878226	N2	0
8878226	9185426	N2	0
9185426	9492626	N2	0
9492626	9799826	N2	0
9799826	10107026	N2	0
10107026	10414226	N2	0
10414226	10721426	N2	0
