StartInd	EndInd	SleepStage	RunNb
539255	846455	N1	0
1043715	1350915	N2	0
1927906	2235106	N3	1
2334249	2641449	Awake	0
2641449	2948649	Awake	0
3234719	3541919	N2	0
3541919	3849119	N2	0
3849119	4156319	N2	0
4156319	4463519	N2	0
5299012	5606212	N2	0
5749894	6057094	N3	2
6057094	6364294	N3	3
6364294	6671494	N3	4
6671494	6978694	N3	5
6978694	7285894	N3	6
7285894	7593094	N3	7
7593094	7900294	N3	8
7900294	8207494	N3	9
8689567	8996767	REM	0
8996767	9303967	REM	0
9303967	9611167	REM	0
9711282	10018482	N2	0
10018482	10325682	N2	0
10325682	10632882	N2	0
10694425	11001625	Awake	0
