StartInd	EndInd	SleepStage	RunNb
25203	332403	N3	1
864980	1172180	REM	0
1313015	1620215	N2	0
1636173	1943373	Awake	0
1943373	2250573	Awake	0
2250573	2557773	Awake	0
2557773	2864973	Awake	0
2864973	3172173	Awake	0
3172173	3479373	Awake	0
3479373	3786573	Awake	0
3786573	4093773	Awake	0
4093773	4400973	Awake	0
4626395	4933595	N2	0
4933595	5240795	N2	0
5271126	5578326	N3	2
5578326	5885526	N3	3
5885526	6192726	N3	4
6471604	6778804	REM	0
6778804	7086004	REM	0
7086004	7393204	REM	0
7393204	7700404	REM	0
8044937	8352137	N2	0
8352137	8659337	N2	0
8947574	9254774	Awake	0
9254774	9561974	Awake	0
9561974	9869174	Awake	0
9869174	10176374	Awake	0
10176374	10483574	Awake	0
10483574	10790774	Awake	0
