StartInd	EndInd	SleepStage	RunNb
1324646	1631846	Awake	0
1631846	1939046	Awake	0
2387595	2694795	Awake	0
2694795	3001995	Awake	0
3001995	3309195	Awake	0
3309195	3616395	Awake	0
3616395	3923595	Awake	0
4067448	4374648	N3	1
4374648	4681848	N3	2
4681848	4989048	N3	3
5254823	5562023	N2	0
5562023	5869223	N2	0
5869223	6176423	N2	0
6176423	6483623	N2	0
6489852	6797052	N3	4
6797052	7104252	N3	5
7104252	7411452	N3	6
7411452	7718652	N3	7
7718652	8025852	N3	8
8430290	8737490	N2	0
8737490	9044690	N2	0
9044690	9351890	N2	0
9351890	9659090	N2	0
9659090	9966290	N2	0
10172909	10480109	Awake	0
10587768	10894968	REM	0
