StartInd	EndInd	SleepStage	RunNb
2159	309359	N2	0
391209	698409	N3	1
1008860	1316060	N2	0
1316060	1623260	N2	0
1623260	1930460	N2	0
2204726	2511926	N3	2
2511926	2819126	N3	3
2819126	3126326	N3	4
3126326	3433526	N3	5
3433526	3740726	N3	6
4035897	4343097	REM	0
4343097	4650297	REM	0
4650297	4957497	REM	0
4957497	5264697	REM	0
5264697	5571897	REM	0
5571897	5879097	REM	0
6071121	6378321	N2	0
6613005	6920205	N3	7
6920205	7227405	N3	8
7227405	7534605	N3	9
7534605	7841805	N3	10
7841805	8149005	N3	11
8149005	8456205	N3	12
8620296	8927496	N3	13
8927496	9234696	N3	14
9420820	9728020	REM	0
9728020	10035220	REM	0
10239784	10546984	N2	0
10546984	10854184	N2	0
