StartInd	EndInd	SleepStage	RunNb
165830	473030	Awake	0
543960	851160	Awake	0
851160	1158360	Awake	0
1158360	1465560	Awake	0
1465560	1772760	Awake	0
1772760	2079960	Awake	0
2079960	2387160	Awake	0
2678524	2985724	N2	0
2985724	3292924	N2	0
3292924	3600124	N2	0
3600124	3907324	N2	0
3907324	4214524	N2	0
4352414	4659614	N3	1
4659614	4966814	N3	2
5014330	5321530	Awake	0
5321530	5628730	Awake	0
5628730	5935930	Awake	0
5935930	6243130	Awake	0
6243130	6550330	Awake	0
6550330	6857530	Awake	0
7020269	7327469	N2	0
7327469	7634669	N2	0
7634669	7941869	N2	0
7941869	8249069	N2	0
8537524	8844724	Awake	0
8844724	9151924	Awake	0
9151924	9459124	Awake	0
9459124	9766324	Awake	0
9766324	10073524	Awake	0
10073524	10380724	Awake	0
10436773	10743973	REM	0
10743973	11051173	REM	0
