StartInd	EndInd	SleepStage	RunNb
181634	488834	Awake	0
488834	796034	Awake	0
796034	1103234	Awake	0
1103234	1410434	Awake	0
1487720	1794920	N2	0
1794920	2102120	N2	0
2102120	2409320	N2	0
2665683	2972883	Awake	0
3020820	3328020	REM	0
3574710	3881910	N3	1
4060348	4367548	N2	0
4367548	4674748	N2	0
4674748	4981948	N2	0
5046356	5353556	N3	2
5353556	5660756	N3	3
6068851	6376051	REM	0
6376051	6683251	REM	0
6683251	6990451	REM	0
6990451	7297651	REM	0
7297651	7604851	REM	0
7604851	7912051	REM	0
7912051	8219251	REM	0
8219251	8526451	REM	0
8793485	9100685	Awake	0
9100685	9407885	Awake	0
9407885	9715085	Awake	0
9715085	10022285	Awake	0
10022285	10329485	Awake	0
10329485	10636685	Awake	0
10701395	11008595	REM	0
