StartInd	EndInd	SleepStage	RunNb
44156	658556	N2	0
658556	1272956	N2	0
1272956	1887356	N2	0
1887356	2501756	N2	0
3379011	3993411	N2	0
4265152	4879552	N3	1
4879552	5493952	N3	2
5493952	6108352	Diff	0
6754351	7368751	REM	0
7368751	7983151	REM	0
7983151	8597551	REM	0
8597551	9211951	REM	0
9211951	9826351	REM	0
9826351	10440751	REM	0
10718936	11333336	N1	0
11333336	11947736	N1	0
12448576	13062976	N2	0
13062976	13677376	N2	0
13677376	14291776	N2	0
14869849	15484249	N3	3
15484249	16098649	N3	4
16098649	16713049	N3	5
17091366	17705766	N2	0
17705766	18320166	N2	0
18320166	18934566	N2	0
18934566	19548966	N2	0
19548966	20163366	N2	0
20163366	20777766	N2	0
20777766	21392166	N2	0
