StartInd	EndInd	SleepStage	RunNb
627610	934810	N2	0
934810	1242010	N2	0
1423340	1730540	N3	1
1730540	2037740	N3	2
2037740	2344940	N3	3
2344940	2652140	N3	4
2872821	3180021	Awake	0
3180021	3487221	Awake	0
3487221	3794421	Awake	0
3794421	4101621	Awake	0
4101621	4408821	Awake	0
4408821	4716021	Awake	0
4851059	5158259	N2	0
5386601	5693801	N2	0
5693801	6001001	N2	0
6043999	6351199	Awake	0
6351199	6658399	Awake	0
6673311	6980511	N3	5
6980511	7287711	N3	6
7287711	7594911	N3	7
7594911	7902111	N3	8
8352979	8660179	N1	0
8660179	8967379	N1	0
9314858	9622058	N2	0
9622058	9929258	N2	0
9929258	10236458	N2	0
10451800	10759000	N2	0
