StartInd	EndInd	SleepStage	RunNb
467337	774537	REM	0
871964	1179164	N2	0
1179164	1486364	N2	0
1486364	1793564	N2	0
1793564	2100764	N2	0
2100764	2407964	N2	0
2407964	2715164	N2	0
2715164	3022364	N2	0
3379577	3686777	REM	0
3695511	4002711	Awake	0
4266340	4573540	REM	0
4573540	4880740	REM	0
4880740	5187940	REM	0
5187940	5495140	REM	0
5495140	5802340	REM	0
6157451	6464651	N2	0
6464651	6771851	N2	0
6771851	7079051	N2	0
7079051	7386251	N2	0
7386251	7693451	N2	0
7794357	8101557	N3	1
8101557	8408757	N3	2
8408757	8715957	N3	3
8715957	9023157	N3	4
9271935	9579135	REM	0
9579135	9886335	REM	0
9886335	10193535	REM	0
10350501	10657701	N1	0
