StartInd	EndInd	SleepStage	RunNb
444	307644	N2	0
307644	614844	N2	0
614844	922044	N2	0
922044	1229244	N2	0
1229244	1536444	N2	0
1536444	1843644	N2	0
1843644	2150844	N2	0
2150844	2458044	N2	0
2458044	2765244	N2	0
2765244	3072444	N2	0
3072444	3379644	N2	0
3379644	3686844	N2	0
3699576	4006776	Diff	0
4006776	4313976	Diff	0
4774398	5081598	REM	0
5361669	5668869	N2	0
5674064	5981264	Awake	0
6138048	6445248	N2	0
6445248	6752448	N2	0
6752448	7059648	N2	0
7059648	7366848	N2	0
7366848	7674048	N2	0
7863423	8170623	N3	1
8170623	8477823	N3	2
8477823	8785023	N3	3
9062248	9369448	REM	0
9525148	9832348	Diff	0
9832348	10139548	Diff	0
10139548	10446748	Diff	0
10633818	10941018	N2	0
