StartInd	EndInd	SleepStage	RunNb
4354	311554	N1	0
420362	727562	N2	0
727562	1034762	N2	0
1034762	1341962	N2	0
1341962	1649162	N2	0
1649162	1956362	N2	0
1956362	2263562	N2	0
2453737	2760937	Awake	0
2984417	3291617	N3	1
3291617	3598817	N3	2
3874674	4181874	N1	0
4309462	4616662	Awake	0
4616662	4923862	Awake	0
4923862	5231062	Awake	0
5231062	5538262	Awake	0
5538262	5845462	Awake	0
5845462	6152662	Awake	0
6404424	6711624	N3	3
6892856	7200056	N1	0
7200056	7507256	N1	0
7507256	7814456	N1	0
7814456	8121656	N1	0
8234309	8541509	N2	0
8739549	9046749	Awake	0
9213161	9520361	N3	4
9541080	9848280	Awake	0
9848280	10155480	Awake	0
10155480	10462680	Awake	0
10462680	10769880	Awake	0
