StartInd	EndInd	SleepStage	RunNb
281336	588536	Awake	0
588536	895736	Awake	0
895736	1202936	Awake	0
1811813	2119013	N2	0
2403626	2710826	Awake	0
2710826	3018026	Awake	0
3081629	3388829	N3	1
3388829	3696029	N3	2
3696029	4003229	N3	3
4003229	4310429	N3	4
4360460	4667660	Awake	0
4667660	4974860	Awake	0
4974860	5282060	Awake	0
5282060	5589260	Awake	0
5793631	6100831	REM	0
6100831	6408031	REM	0
6408031	6715231	REM	0
6999303	7306503	Awake	0
7378154	7685354	N2	0
7685354	7992554	N2	0
8194904	8502104	N3	5
8502104	8809304	N3	6
8809304	9116504	N3	7
9116504	9423704	N3	8
9423704	9730904	N3	9
9730904	10038104	N3	10
10038104	10345304	N3	11
10345304	10652504	N3	12
