StartInd	EndInd	SleepStage	RunNb
96822	404022	N2	0
404022	711222	N2	0
716724	1023924	N3	1
1023924	1331124	N3	2
1331124	1638324	N3	3
2045165	2352365	N2	0
2377394	2684594	N3	4
2684594	2991794	N3	5
2991794	3298994	N3	6
3298994	3606194	N3	7
3749786	4056986	Awake	0
4184627	4491827	N2	0
4491827	4799027	N2	0
4799027	5106227	N2	0
5570207	5877407	N2	0
5877407	6184607	N2	0
6184607	6491807	N2	0
6491807	6799007	N2	0
6799007	7106207	N2	0
7106207	7413407	N2	0
7413407	7720607	N2	0
7720607	8027807	N2	0
8027807	8335007	N2	0
8460431	8767631	N3	8
9230805	9538005	N2	0
9538005	9845205	N2	0
10452829	10760029	Awake	0
